,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
0,-507.20383,32.65665,-14.149189,-2.398801,-6.611685,-4.475557,-11.52351,-7.9147816,-11.85323,-4.217081,-5.5535574,-3.5872967,-8.449174,-4.7511435,-10.05049,-2.5706046,-9.5543375,-3.5229182,-3.3087187,2.5355964,-1.5781697,5.4337535,0.20884651,-1.949991,-2.440506,3.9468546,-0.749838,2.6161406,-0.13394211,0.39784348,1.2880938,3.1410985,-1.4145753,-0.6084149,-2.2434077,1.6683881,0.55739045,0.73812336,0.40708464,2.9720068,surprise
1,-424.9115,72.836365,13.582559,-14.813837,-15.483583,6.0203576,-11.732384,5.9554024,-17.852468,-5.9061656,-18.410717,-2.1165552,-8.65876,5.237736,-10.299102,3.6642652,-5.9116907,4.015386,-0.9051004,-5.795732,-1.3058481,19.346489,13.33347,32.245773,26.968136,21.028244,5.531217,11.444637,-5.4328413,6.486912,0.67682856,0.38643023,-3.6983721,-2.3593547,0.52539724,2.0941448,-4.0721927,0.83191276,-4.1012917,0.08290745,fear
2,-662.9571,41.473816,-18.418589,3.3182235,-12.977219,-7.3362236,-11.32043,-14.5333185,-9.974374,-5.557361,-9.123869,-4.092683,-8.280067,-1.3108686,-6.4893565,-3.92128,-5.674512,-4.0473175,-4.5716944,-2.251671,-1.5293357,1.0988736,-3.2140145,1.9929975,-1.3396957,1.7413222,-1.1912029,1.2458246,-1.1074758,2.2225668,-1.6973653,1.424337,0.3174214,3.119349,0.068751775,1.4908453,-1.1508458,1.6576895,0.109152764,0.8496774,surprise
3,-611.10657,79.3806,2.8244593,16.471415,10.420895,-4.2529883,-0.33273757,-4.8676505,-8.821871,1.9408488,-0.98655254,-1.4318613,-0.5116228,5.250813,-3.9484825,-0.09975006,-3.6590288,2.492508,-2.6989222,-0.3375699,-5.33813,1.2222672,-5.5096064,-1.6453846,-2.7005415,-0.66202474,-3.8981075,0.02161768,-1.3255681,1.4372982,-2.2614717,-1.887397,-3.486242,-1.8494112,-3.482877,-0.3037968,-3.3291779,-2.793863,-4.0385594,-2.3219817,calm
4,-540.01166,51.239983,-22.972181,10.175825,1.1679419,-8.053654,-1.7105316,-9.832929,-2.802476,-1.464126,-8.127399,-3.0688066,-3.3436189,3.064847,-2.8527715,-1.2874645,-3.093055,3.5677078,-1.0433967,6.3030715,3.4724567,5.932133,6.0981603,12.209761,3.453237,5.1958213,1.5066,5.8103294,5.0196123,6.539431,1.4130803,3.1465867,3.6347177,8.796452,6.1985784,5.0923157,2.126676,3.1773214,3.4043703,5.2359924,happy
5,-440.41406,53.08641,11.666859,-7.244486,0.11000904,13.466213,-15.148265,-3.3207257,-19.23102,3.52637,-22.984205,-8.210189,-5.4819517,0.12913555,-7.115141,5.0239587,-10.186137,7.4690847,-3.3330984,-1.0865629,2.5178294,18.617481,21.560259,33.163242,23.932016,24.331144,4.420352,5.7228155,0.9067353,7.6034107,-0.62397903,0.78538746,-4.1696835,-1.2162116,-0.3005622,2.7113943,-4.2581983,1.4886739,-5.8469667,0.88729817,fear
6,-585.6554,40.84658,-16.065943,5.3023715,-9.8604765,-8.520914,-10.103176,-10.536113,-9.87065,-4.2454047,-7.7402215,-3.6848109,-7.752966,-1.1915663,-9.246958,-4.691043,-4.342622,2.828956,0.56104815,3.0835261,3.6266897,3.9406164,1.1733302,3.3781016,-0.35136622,-0.1215715,-2.66315,1.2307129,-1.7903954,1.0770113,-2.8482537,0.115351096,-1.8497382,3.9786258,1.3037846,2.9412096,0.12481303,2.0308201,-1.7061783,1.089891,surprise
7,-446.05768,79.014404,16.152946,9.80128,1.0756484,-1.8506916,-15.306571,7.6437287,-17.690897,-4.2916694,-16.158575,-6.7309537,-4.6796355,-2.1459322,-2.0762558,4.60887,-3.189271,14.845026,-1.6944838,3.024587,-3.3953292,2.8482125,-2.2253342,5.9338408,-4.820909,8.501342,1.1186523,10.084386,-2.3790042,6.2006145,-0.7883645,5.047794,3.5551648,2.4155447,0.4882694,4.916492,1.4141558,4.8931518,2.9056914,7.9762135,happy
8,-627.47485,49.861958,-11.37033,3.0283394,0.619703,-5.050848,-12.042879,-7.66811,-15.613263,0.4136018,-5.8682437,-6.8883185,-3.2949445,-2.0893672,-0.87719035,-3.6572592,-8.397967,-0.6187447,-6.8158846,-1.8592516,-5.9076715,-0.9926459,-6.574052,0.4181366,-5.26663,0.4981968,-3.0319169,2.0998845,1.8374437,6.0593634,3.143849,4.963868,2.7607372,4.693249,5.1905932,8.144259,7.5608244,7.237897,0.20927031,0.3212618,sad
9,-648.5159,72.08704,5.4728456,15.99422,9.473124,3.3129277,0.24101445,2.7863033,-3.8881896,-0.60251737,-2.801739,6.426985,-3.1470249,2.906225,1.5568069,1.0007695,-0.65712076,2.5008054,0.58348364,2.3221312,-2.8281336,2.8777812,-3.3681002,2.4116054,-2.6854317,1.6091298,-3.2059264,1.799644,-1.4488388,1.4806172,0.15833741,1.0787003,-1.0340028,0.20553668,-1.4876639,2.982629,0.14044258,1.8829576,-2.1152406,-0.923298,calm
